S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0.000000000000000000e+00,1.000000000000000000e+00,1.666666666666666963e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,2.666666666666666963e+00,2.333333333333333481e+00,2.000000000000000000e+00,3.333333333333333481e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.166666666666666741e+00,3.039167699138468404e+00,3.000000000000000000e+00,3.000000000000000000e+00,2.666666666666666963e+00,2.411668731610269845e+00,2.000000000000000000e+00,2.872501032471801885e+00
1.666666666666666963e+00,1.166666666666666741e+00,0.000000000000000000e+00,2.705834365805134922e+00,2.666666666666666963e+00,2.666666666666666963e+00,2.000000000000000000e+00,2.117503097415404767e+00,2.666666666666666963e+00,2.372501032471801885e+00
3.000000000000000000e+00,3.039167699138468404e+00,2.705834365805134922e+00,0.000000000000000000e+00,1.579789310631787957e+00,6.762546461231068173e-01,1.784169764082071286e+00,1.666666666666666741e+00,2.117503097415404767e+00,2.504340432987492093e+00
3.000000000000000000e+00,3.000000000000000000e+00,2.666666666666666963e+00,1.579789310631787957e+00,0.000000000000000000e+00,1.775558352215608204e+00,1.940840560635944012e+00,1.902569035948818321e+00,2.322448900478944367e+00,2.618887555661735700e+00
3.000000000000000000e+00,3.000000000000000000e+00,2.666666666666666963e+00,6.762546461231068173e-01,1.775558352215608204e+00,0.000000000000000000e+00,1.666666666666666741e+00,1.882089011928241629e+00,1.500000000000000000e+00,2.543508132125960053e+00
2.666666666666666963e+00,2.666666666666666963e+00,2.000000000000000000e+00,1.784169764082071286e+00,1.940840560635944012e+00,1.666666666666666741e+00,0.000000000000000000e+00,8.525092922462136347e-01,1.862505162359007649e+00,2.450836430748737804e+00
2.333333333333333481e+00,2.411668731610269845e+00,2.117503097415404767e+00,1.666666666666666741e+00,1.902569035948818321e+00,1.882089011928241629e+00,8.525092922462136347e-01,0.000000000000000000e+00,1.245002064943603104e+00,2.726802673620699835e+00
2.000000000000000000e+00,2.000000000000000000e+00,2.666666666666666963e+00,2.117503097415404767e+00,2.322448900478944367e+00,1.500000000000000000e+00,1.862505162359007649e+00,1.245002064943603104e+00,0.000000000000000000e+00,2.862505162359007649e+00
3.333333333333333481e+00,2.872501032471801885e+00,2.372501032471801885e+00,2.504340432987492093e+00,2.618887555661735700e+00,2.543508132125960053e+00,2.450836430748737804e+00,2.726802673620699835e+00,2.862505162359007649e+00,0.000000000000000000e+00
